@relation credit-data-cleaned-numerical-xlsx

@attribute case_no numeric
@attribute checking_status {<0,0<=X<200,'no checking',>=200}
@attribute credit_history {'critical/other existing credit','existing paid','delayed previously','no credits/all paid','all paid'}
@attribute purpose {radio/tv,education,furniture/equipment,'new car','used car',business,'domestic appliance',repairs,other,retraining}
@attribute credit_amount numeric
@attribute saving_status {'no known savings',<100,500<=X<1000,>=1000,100<=X<500}
@attribute employment {>=7,1<=X<4,4<=X<7,unemployed,<1}
@attribute personal_status {'male single','female div/dep/mar','male div/sep','male mar/wid'}
@attribute age numeric
@attribute job {skilled,'unskilled resident','high qualif/self emp/mgmt','unemp/unskilled non res'}
@attribute class numeric

@data
1,<0,'critical/other existing credit',radio/tv,1169,'no known savings',>=7,'male single',67,skilled,1
2,0<=X<200,'existing paid',radio/tv,5951,<100,1<=X<4,'female div/dep/mar',22,skilled,0
3,'no checking','critical/other existing credit',education,2096,<100,4<=X<7,'male single',49,'unskilled resident',1
4,<0,'existing paid',furniture/equipment,7882,<100,4<=X<7,'male single',45,skilled,1
5,<0,'delayed previously','new car',4870,<100,1<=X<4,'male single',53,skilled,0
6,'no checking','existing paid',education,9055,'no known savings',1<=X<4,'male single',35,'unskilled resident',1
7,'no checking','existing paid',furniture/equipment,2835,500<=X<1000,>=7,'male single',53,skilled,1
8,0<=X<200,'existing paid','used car',6948,<100,1<=X<4,'male single',35,'high qualif/self emp/mgmt',1
9,'no checking','existing paid',radio/tv,3059,>=1000,4<=X<7,'male div/sep',61,'unskilled resident',1
10,0<=X<200,'critical/other existing credit','new car',5234,<100,unemployed,'male mar/wid',28,'high qualif/self emp/mgmt',0
11,0<=X<200,'existing paid','new car',1295,<100,<1,'female div/dep/mar',25,skilled,0
12,<0,'existing paid',business,4308,<100,<1,'female div/dep/mar',24,skilled,0
13,0<=X<200,'existing paid',radio/tv,1567,<100,1<=X<4,'female div/dep/mar',22,skilled,1
14,<0,'critical/other existing credit','new car',1199,<100,>=7,'male single',60,'unskilled resident',0
15,<0,'existing paid','new car',1403,<100,1<=X<4,'female div/dep/mar',28,skilled,1
16,<0,'existing paid',radio/tv,1282,100<=X<500,1<=X<4,'female div/dep/mar',32,'unskilled resident',0
