case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
1.0,<0,critical/other existing credit,radio/tv,1169.0,no known savings,>=7,male single,67.0,skilled,1
2.0,0<=X<200,existing paid,radio/tv,5951.0,<100,1<=X<4,female div/dep/mar,22.0,skilled,0
3.0,no checking,critical/other existing credit,education,2096.0,<100,4<=X<7,male single,49.0,unskilled resident,1
4.0,<0,existing paid,furniture/equipment,7882.0,<100,4<=X<7,male single,45.0,skilled,1
5.0,<0,delayed previously,new car,4870.0,<100,1<=X<4,male single,53.0,skilled,0
6.0,no checking,existing paid,education,9055.0,no known savings,1<=X<4,male single,35.0,unskilled resident,1
7.0,no checking,existing paid,furniture/equipment,2835.0,500<=X<1000,>=7,male single,53.0,skilled,1
8.0,0<=X<200,existing paid,used car,6948.0,<100,1<=X<4,male single,35.0,high qualif/self emp/mgmt,1
9.0,no checking,existing paid,radio/tv,3059.0,>=1000,4<=X<7,male div/sep,61.0,unskilled resident,1
10.0,0<=X<200,critical/other existing credit,new car,5234.0,<100,unemployed,male mar/wid,28.0,high qualif/self emp/mgmt,0
11.0,0<=X<200,existing paid,new car,1295.0,<100,<1,female div/dep/mar,25.0,skilled,0
12.0,<0,existing paid,business,4308.0,<100,<1,female div/dep/mar,24.0,skilled,0
13.0,0<=X<200,existing paid,radio/tv,1567.0,<100,1<=X<4,female div/dep/mar,22.0,skilled,1
14.0,<0,critical/other existing credit,new car,1199.0,<100,>=7,male single,60.0,unskilled resident,0
15.0,<0,existing paid,new car,1403.0,<100,1<=X<4,female div/dep/mar,28.0,skilled,1
16.0,<0,existing paid,radio/tv,1282.0,100<=X<500,1<=X<4,female div/dep/mar,32.0,unskilled resident,0
17.0,no checking,critical/other existing credit,radio/tv,2424.0,no known savings,>=7,male single,53.0,skilled,1
18.0,<0,no credits/all paid,business,8072.0,no known savings,<1,male single,25.0,skilled,1
19.0,0<=X<200,existing paid,used car,12579.0,<100,>=7,female div/dep/mar,44.0,high qualif/self emp/mgmt,0
20.0,no checking,existing paid,radio/tv,3430.0,500<=X<1000,>=7,male single,31.0,skilled,1
21.0,no checking,critical/other existing credit,new car,2134.0,<100,1<=X<4,male single,48.0,skilled,1
22.0,<0,existing paid,radio/tv,2647.0,500<=X<1000,1<=X<4,male single,44.0,skilled,1
23.0,<0,critical/other existing credit,new car,2241.0,<100,<1,male single,48.0,unskilled resident,1
24.0,0<=X<200,critical/other existing credit,used car,1804.0,100<=X<500,<1,male single,44.0,skilled,1
25.0,no checking,critical/other existing credit,furniture/equipment,2069.0,no known savings,1<=X<4,male mar/wid,26.0,skilled,1
26.0,<0,existing paid,furniture/equipment,1374.0,<100,1<=X<4,male single,60.0,unskilled resident,1
27.0,no checking,no credits/all paid,radio/tv,426.0,<100,>=7,male mar/wid,39.0,unskilled resident,1
28.0,>=200,all paid,radio/tv,409.0,>=1000,1<=X<4,female div/dep/mar,42.0,skilled,1
29.0,0<=X<200,existing paid,radio/tv,2415.0,<100,1<=X<4,male single,34.0,skilled,1
30.0,<0,delayed previously,business,6836.0,<100,>=7,male single,63.0,skilled,0
31.0,0<=X<200,existing paid,business,1913.0,>=1000,<1,male mar/wid,36.0,skilled,1
32.0,<0,existing paid,furniture/equipment,4020.0,<100,1<=X<4,male single,27.0,skilled,1
33.0,0<=X<200,existing paid,new car,5866.0,100<=X<500,1<=X<4,male single,30.0,skilled,1
34.0,no checking,critical/other existing credit,business,1264.0,no known savings,>=7,male single,57.0,unskilled resident,1
35.0,>=200,existing paid,furniture/equipment,1474.0,<100,<1,female div/dep/mar,33.0,high qualif/self emp/mgmt,1
36.0,0<=X<200,critical/other existing credit,radio/tv,4746.0,<100,<1,male single,25.0,unskilled resident,0
37.0,no checking,critical/other existing credit,education,6110.0,<100,1<=X<4,male single,31.0,skilled,1
38.0,>=200,existing paid,radio/tv,2100.0,<100,1<=X<4,male single,37.0,skilled,0
39.0,>=200,existing paid,domestic appliance,1225.0,<100,1<=X<4,male single,37.0,skilled,1
40.0,0<=X<200,existing paid,radio/tv,458.0,<100,1<=X<4,male single,24.0,skilled,1
41.0,no checking,existing paid,radio/tv,2333.0,500<=X<1000,>=7,male single,30.0,high qualif/self emp/mgmt,1
42.0,0<=X<200,existing paid,radio/tv,1158.0,500<=X<1000,1<=X<4,male div/sep,26.0,skilled,1
43.0,0<=X<200,delayed previously,repairs,6204.0,<100,1<=X<4,male single,44.0,unskilled resident,1
44.0,<0,critical/other existing credit,used car,6187.0,100<=X<500,4<=X<7,male mar/wid,24.0,skilled,1
45.0,<0,critical/other existing credit,used car,6143.0,<100,>=7,female div/dep/mar,58.0,unskilled resident,0
46.0,no checking,critical/other existing credit,new car,1393.0,<100,<1,female div/dep/mar,35.0,high qualif/self emp/mgmt,1
47.0,no checking,existing paid,radio/tv,2299.0,500<=X<1000,>=7,male single,39.0,skilled,1
48.0,<0,existing paid,used car,1352.0,500<=X<1000,unemployed,female div/dep/mar,23.0,unemp/unskilled non res,1
49.0,no checking,critical/other existing credit,new car,7228.0,<100,1<=X<4,male single,39.0,unskilled resident,1
50.0,no checking,existing paid,radio/tv,2073.0,100<=X<500,1<=X<4,female div/dep/mar,28.0,skilled,1
51.0,0<=X<200,delayed previously,furniture/equipment,2333.0,no known savings,<1,male single,29.0,unskilled resident,1
52.0,0<=X<200,delayed previously,used car,5965.0,<100,>=7,male single,30.0,high qualif/self emp/mgmt,1
53.0,no checking,existing paid,radio/tv,1262.0,<100,1<=X<4,male single,25.0,skilled,1
54.0,no checking,existing paid,used car,3378.0,no known savings,1<=X<4,male single,19.0,skilled,1
55.0,0<=X<200,delayed previously,new car,2225.0,<100,>=7,male single,57.0,skilled,0
56.0,no checking,all paid,new car,783.0,no known savings,1<=X<4,male single,26.0,unskilled resident,1
57.0,0<=X<200,existing paid,radio/tv,6468.0,no known savings,unemployed,male single,52.0,high qualif/self emp/mgmt,0
58.0,no checking,critical/other existing credit,radio/tv,9566.0,<100,1<=X<4,female div/dep/mar,31.0,skilled,1
59.0,>=200,existing paid,new car,1961.0,<100,>=7,female div/dep/mar,23.0,high qualif/self emp/mgmt,1
60.0,<0,critical/other existing credit,furniture/equipment,6229.0,<100,<1,female div/dep/mar,23.0,unskilled resident,0
61.0,0<=X<200,existing paid,business,1391.0,<100,1<=X<4,male mar/wid,27.0,skilled,1
62.0,0<=X<200,critical/other existing credit,radio/tv,1537.0,no known savings,>=7,male single,50.0,skilled,1
63.0,0<=X<200,no credits/all paid,business,1953.0,<100,>=7,male single,61.0,high qualif/self emp/mgmt,0
64.0,0<=X<200,no credits/all paid,business,14421.0,<100,1<=X<4,male single,25.0,skilled,0
65.0,no checking,existing paid,radio/tv,3181.0,<100,<1,female div/dep/mar,26.0,skilled,1
66.0,no checking,existing paid,repairs,5190.0,no known savings,>=7,male single,48.0,skilled,1
67.0,no checking,existing paid,radio/tv,2171.0,<100,<1,female div/dep/mar,29.0,skilled,1
68.0,0<=X<200,existing paid,new car,1007.0,>=1000,1<=X<4,male mar/wid,22.0,skilled,1
69.0,no checking,existing paid,education,1819.0,<100,1<=X<4,male single,37.0,skilled,0
70.0,no checking,existing paid,radio/tv,2394.0,no known savings,1<=X<4,female div/dep/mar,25.0,skilled,1
71.0,no checking,existing paid,used car,8133.0,<100,1<=X<4,female div/dep/mar,30.0,skilled,1
72.0,no checking,critical/other existing credit,radio/tv,730.0,no known savings,>=7,male single,46.0,unskilled resident,1
73.0,<0,critical/other existing credit,other,1164.0,<100,>=7,male single,51.0,high qualif/self emp/mgmt,1
74.0,0<=X<200,critical/other existing credit,business,5954.0,<100,4<=X<7,female div/dep/mar,41.0,unskilled resident,1
75.0,<0,existing paid,education,1977.0,no known savings,>=7,male single,40.0,high qualif/self emp/mgmt,0
76.0,<0,critical/other existing credit,used car,1526.0,<100,>=7,male single,66.0,high qualif/self emp/mgmt,1
77.0,<0,existing paid,radio/tv,3965.0,<100,<1,male single,34.0,skilled,0
78.0,0<=X<200,delayed previously,radio/tv,4771.0,<100,4<=X<7,male single,51.0,skilled,1
79.0,no checking,no credits/all paid,used car,9436.0,no known savings,1<=X<4,male single,39.0,unskilled resident,1
80.0,0<=X<200,existing paid,furniture/equipment,3832.0,<100,<1,male mar/wid,22.0,skilled,1
81.0,no checking,existing paid,radio/tv,5943.0,no known savings,<1,female div/dep/mar,44.0,skilled,0
82.0,no checking,existing paid,radio/tv,1213.0,500<=X<1000,>=7,male single,47.0,skilled,1
83.0,no checking,existing paid,business,1568.0,100<=X<500,1<=X<4,female div/dep/mar,24.0,unskilled resident,1
84.0,<0,existing paid,other,1755.0,<100,>=7,female div/dep/mar,58.0,unskilled resident,1
85.0,<0,existing paid,radio/tv,2315.0,<100,>=7,male single,52.0,unskilled resident,1
86.0,no checking,critical/other existing credit,business,1412.0,<100,1<=X<4,female div/dep/mar,29.0,high qualif/self emp/mgmt,1
87.0,0<=X<200,critical/other existing credit,furniture/equipment,1295.0,<100,<1,female div/dep/mar,27.0,skilled,1
88.0,0<=X<200,existing paid,education,12612.0,100<=X<500,1<=X<4,male single,47.0,skilled,0
89.0,<0,existing paid,new car,2249.0,100<=X<500,4<=X<7,male single,30.0,high qualif/self emp/mgmt,1
90.0,<0,no credits/all paid,repairs,1108.0,<100,4<=X<7,male single,28.0,skilled,0
91.0,no checking,critical/other existing credit,radio/tv,618.0,<100,>=7,male single,56.0,skilled,1
92.0,<0,critical/other existing credit,used car,1409.0,<100,>=7,male single,54.0,skilled,1
93.0,no checking,critical/other existing credit,radio/tv,797.0,no known savings,>=7,female div/dep/mar,33.0,unskilled resident,0
94.0,>=200,critical/other existing credit,furniture/equipment,3617.0,no known savings,>=7,male single,20.0,skilled,1
95.0,0<=X<200,existing paid,new car,1318.0,>=1000,>=7,male single,54.0,skilled,1
96.0,0<=X<200,no credits/all paid,business,15945.0,<100,<1,male single,58.0,skilled,0
97.0,no checking,critical/other existing credit,education,2012.0,no known savings,4<=X<7,female div/dep/mar,61.0,skilled,1
98.0,0<=X<200,existing paid,business,2622.0,100<=X<500,1<=X<4,male single,34.0,skilled,1
99.0,0<=X<200,critical/other existing credit,radio/tv,2337.0,<100,>=7,male single,36.0,skilled,1
100.0,0<=X<200,delayed previously,used car,7057.0,no known savings,4<=X<7,male single,36.0,high qualif/self emp/mgmt,1
101.0,no checking,existing paid,new car,1469.0,100<=X<500,>=7,male mar/wid,41.0,unskilled resident,1
102.0,0<=X<200,existing paid,radio/tv,2323.0,<100,4<=X<7,male single,24.0,skilled,1
103.0,no checking,delayed previously,radio/tv,932.0,<100,1<=X<4,female div/dep/mar,24.0,skilled,1
104.0,0<=X<200,critical/other existing credit,furniture/equipment,1919.0,<100,4<=X<7,male single,35.0,skilled,1
105.0,no checking,existing paid,used car,2445.0,no known savings,<1,male mar/wid,26.0,skilled,1
106.0,0<=X<200,critical/other existing credit,other,11938.0,<100,1<=X<4,male single,39.0,high qualif/self emp/mgmt,0
107.0,no checking,all paid,new car,6458.0,<100,>=7,male single,39.0,high qualif/self emp/mgmt,0
108.0,0<=X<200,existing paid,new car,6078.0,<100,4<=X<7,male single,32.0,skilled,1
109.0,<0,existing paid,furniture/equipment,7721.0,no known savings,<1,female div/dep/mar,30.0,skilled,1
110.0,0<=X<200,existing paid,business,1410.0,500<=X<1000,>=7,male mar/wid,35.0,skilled,1
111.0,0<=X<200,delayed previously,business,1449.0,100<=X<500,>=7,male div/sep,31.0,skilled,1
112.0,>=200,existing paid,education,392.0,<100,<1,female div/dep/mar,23.0,skilled,1
113.0,0<=X<200,existing paid,new car,6260.0,<100,4<=X<7,male single,28.0,unskilled resident,1
114.0,no checking,critical/other existing credit,new car,7855.0,<100,1<=X<4,female div/dep/mar,25.0,skilled,0
115.0,<0,existing paid,radio/tv,1680.0,500<=X<1000,>=7,male mar/wid,35.0,skilled,1
116.0,no checking,critical/other existing credit,radio/tv,3578.0,no known savings,>=7,male single,47.0,skilled,1
117.0,<0,existing paid,radio/tv,7174.0,no known savings,4<=X<7,female div/dep/mar,30.0,high qualif/self emp/mgmt,0
118.0,<0,critical/other existing credit,furniture/equipment,2132.0,no known savings,<1,female div/dep/mar,27.0,skilled,1
119.0,<0,critical/other existing credit,furniture/equipment,4281.0,500<=X<1000,1<=X<4,female div/dep/mar,23.0,skilled,0
120.0,0<=X<200,critical/other existing credit,new car,2366.0,500<=X<1000,4<=X<7,male div/sep,36.0,high qualif/self emp/mgmt,1
121.0,<0,existing paid,radio/tv,1835.0,<100,1<=X<4,female div/dep/mar,25.0,skilled,0
122.0,no checking,critical/other existing credit,used car,3868.0,<100,>=7,female div/dep/mar,41.0,high qualif/self emp/mgmt,1
123.0,no checking,existing paid,furniture/equipment,1768.0,<100,1<=X<4,male single,24.0,unskilled resident,1
124.0,>=200,critical/other existing credit,new car,781.0,<100,>=7,male single,63.0,skilled,1
125.0,0<=X<200,existing paid,furniture/equipment,1924.0,no known savings,<1,female div/dep/mar,27.0,skilled,0
126.0,<0,critical/other existing credit,new car,2121.0,<100,1<=X<4,male single,30.0,skilled,1
127.0,<0,existing paid,radio/tv,701.0,<100,1<=X<4,male mar/wid,40.0,unskilled resident,1
128.0,0<=X<200,existing paid,repairs,639.0,<100,1<=X<4,male single,30.0,skilled,0
129.0,0<=X<200,critical/other existing credit,used car,1860.0,<100,unemployed,male single,34.0,high qualif/self emp/mgmt,1
130.0,<0,critical/other existing credit,new car,3499.0,<100,1<=X<4,female div/dep/mar,29.0,skilled,0
131.0,0<=X<200,existing paid,new car,8487.0,no known savings,4<=X<7,female div/dep/mar,24.0,skilled,1
132.0,<0,delayed previously,education,6887.0,<100,1<=X<4,male single,29.0,skilled,0
133.0,no checking,existing paid,furniture/equipment,2708.0,<100,<1,male single,27.0,unskilled resident,1
134.0,no checking,existing paid,furniture/equipment,1984.0,<100,1<=X<4,male single,47.0,skilled,1
135.0,no checking,existing paid,radio/tv,10144.0,100<=X<500,4<=X<7,female div/dep/mar,21.0,skilled,1
136.0,no checking,critical/other existing credit,radio/tv,1240.0,no known savings,>=7,female div/dep/mar,38.0,skilled,1
137.0,no checking,delayed previously,used car,8613.0,>=1000,1<=X<4,male single,27.0,skilled,1
138.0,0<=X<200,existing paid,radio/tv,766.0,500<=X<1000,1<=X<4,male single,66.0,unskilled resident,0
139.0,0<=X<200,critical/other existing credit,radio/tv,2728.0,no known savings,4<=X<7,male single,35.0,skilled,1
